PID,CITY,ZIP_CODE,LONGITUDE,LATITUDE,YR_BUILT,YR_REMODEL,INT_COND,EXT_COND,OVERALL_COND,LAND_SF,GROSS_AREA,LIVING_AREA,BED_RMS,FULL_BTH,HLF_BTH,KITCHENS,TT_RMS,AC_TYPE,NUM_PARKING,HEAT_CLASS,trend_5yr_norm,long_term_norm,long_term_log_trend,HAS_REMODEL,HAS_YR_BUILT,TOTAL_VALUE_2025
100001000,EAST BOSTON,2128,-71.03258751,42.37938531,1900,,A - Average,F - Fair,A - Average,"1,150",3353,2202,6,3,0,3,12,N - None,3,2,0.050241793,0.060694799,0.075307218,0,1,799000
100002000,EAST BOSTON,2128,-71.03252092,42.37941198,1920,2000,A - Average,A - Average,A - Average,"1,150",3047,2307,3,3,0,3,9,C - Central AC,0,4,0.042752666,0.053286471,0.065238162,1,1,843000
100003000,EAST BOSTON,2128,-71.03245522,42.37943589,1905,1985,A - Average,G - Good,A - Average,"1,150",3392,2268,5,3,0,3,13,N - None,0,3,0.05249047,0.062351441,0.07812298,1,1,815900
100004000,EAST BOSTON,2128,-71.03238999,42.37946252,1900,1991,A - Average,A - Average,A - Average,"1,150",3108,2028,5,3,0,3,11,N - None,0,2,0.049836363,0.057856331,0.073006789,1,1,774100
100005000,EAST BOSTON,2128,-71.0322822,42.37942977,1900,1978,A - Average,F - Fair,A - Average,"2,010",3700,2546,6,3,0,3,13,N - None,0,2,0.044851778,0.059594822,0.073626016,1,1,771700
100006000,EAST BOSTON,2128,-71.0322073,42.37946036,1900,2018,G - Good,A - Average,A - Average,"2,500",6278,4362,13,6,0,3,20,N - None,0,1,0.063231768,0.089204895,0.129627938,1,1,1348000
100007000,EAST BOSTON,2128,-71.03212892,42.37949086,1900,2009,A - Average,A - Average,A - Average,"2,500",6432,4296,14,5,0,3,20,N - None,0,2,0.081618417,0.086128919,0.120506565,1,1,1307600
100008000,EAST BOSTON,2128,-71.03204836,42.37951842,1900,,A - Average,A - Average,A - Average,"2,500",6048,4080,11,3,0,3,16,N - None,0,2,0.068596793,0.073842402,0.099226357,0,1,1210500
100009000,EAST BOSTON,2128,-71.03196503,42.37955042,1900,1998,A - Average,A - Average,A - Average,"2,500",4339,2937,5,3,0,3,14,N - None,0,2,0.058813468,0.065085217,0.084786379,1,1,938100
100010002,EAST BOSTON,2128,-71.03188011,42.379582,1900,2020,E - Excellent,E - Excellent,G - Good,"1,082",1082,1082,2,2,0,1,5,C - Central AC,0,4,,,,1,1,607000
